website,item_title,price,image_url,product_url,date
bestprice,Pokemon TCG: Holiday Calendar 2024 (POK858291),"67,99€",https://bbpcdn.pstatic.gr/bpimg32/beWly/1SUcFN_SX250Y250/1727450063/pokemon-tcg-holiday-calendar-2024.webp,"https://www.bestprice.gr/to/166100576/pokemon-tcg-holiday-calendar-2024.html?seq=71&qo=pokemon+tcg&from=search&ct=20MEsl-3Km8dx-cMX2U,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG: Ampharos Ex Battle Deck,"14,50€",https://bbpcdn.pstatic.gr/bpimg19/8BdRN/1QxgJc_SX250Y250/1692431434/pokemon-tcg-ampharos-ex-battle-deck.webp,"https://www.bestprice.gr/to/127082131/pokemon-tcg-ampharos-ex-battle-deck.html?seq=72&qo=pokemon+tcg&from=search&ct=3UWiWl-871LQ-9Mkzv,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - Cynthia's Garchomp ex Premium Collection,"52,60€",https://bbpcdn.pstatic.gr/bpimg54/cZSv4/1UCA47_SX250Y250/1752802751/pokemon-tcg-cynthias-garchomp-ex-premium-collection.webp,"https://www.bestprice.gr/to/192063542/pokemon-tcg-cynthias-garchomp-ex-premium-collection.html?seq=73&qo=pokemon+tcg&from=search&ct=J7sAd-2wF8hv-eNaX2,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG Mew Vmax League Battle Deck (POK851124),"44,99€",https://bbpcdn.pstatic.gr/bpimg53/7pbGR/1QjBmj_SX250Y250/1689174147/pokemon-tcg-mew-vmax-league-battle-deck.webp,"https://www.bestprice.gr/to/109437493/pokemon-tcg-mew-vmax-league-battle-deck.html?seq=74&qo=pokemon+tcg&from=search&ct=4pAn6o-znoCB-8qDid,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - Charizard ex League Battle Deck,"69,99€",https://bbpcdn.pstatic.gr/bpimg2/d4dpg/1UImYm_SX250Y250/1754182390/pokemon-tcg-charizard-ex-league-battle-deck.webp,"https://www.bestprice.gr/to/193097218/pokemon-tcg-charizard-ex-league-battle-deck.html?seq=75&qo=pokemon+tcg&from=search&ct=53yLyU-1jN7TS-eRW6W,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG Pokemon GO Tin - Snorlax (POK850776 Snorlax),"25,99€",https://bbpcdn.pstatic.gr/bpimg55/6FmhF/1UhjE6_SX250Y250/1747734746/pokemon-tcg-pokemon-go-tin-snorlax.webp,"https://www.bestprice.gr/to/98515127/pokemon-tcg-pokemon-go-tin-snorlax.html?seq=76&qo=pokemon+tcg&from=search&ct=TCQiN-2zXqjQ-7A5iL,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG Scarlet & Violet Paldea Evolved - Premium Checklane Arboliva,"6,50€",https://bbpcdn.pstatic.gr/bpimg39/bn6zt/1T2oIS_SX250Y250/1729403006/pokemon-tcg-scarlet-violet-paldea-evolved-premium-checklane-arboliva.webp,"https://www.bestprice.gr/to/168046503/pokemon-tcg-scarlet-violet-paldea-evolved-premium-checklane-arboliva.html?seq=77&qo=pokemon+tcg&from=search&ct=2uSsT9-4gAVcs-cVXz3,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - Slashing Legends Tin: Koraidon ex,"26,99€",https://bbpcdn.pstatic.gr/bpimg8/cyE64/1UfUNZ_SX250Y250/1747400931/pokemon-tcg-slashing-legends-tin-koraidon-ex.webp,"https://www.bestprice.gr/to/185573320/pokemon-tcg-slashing-legends-tin-koraidon-ex.html?seq=78&qo=pokemon+tcg&from=search&ct=DPQt4-2qTtk0-ej88E,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - Scarlet & Violet Black Bolt - Booster,"7,50€",https://bbpcdn.pstatic.gr/bpimg40/d9d0I/1UPLQN_SX250Y250/1755946317/pokemon-tcg-scarlet-violet-black-bolt-booster.webp,"https://www.bestprice.gr/to/194287336/pokemon-tcg-scarlet-violet-black-bolt-booster.html?seq=79&qo=pokemon+tcg&from=search&ct=X78xU-2KP5Ws-eXsGg,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - March 2025 Mini Portfolio - POK106635,"7,99€",https://bbpcdn.pstatic.gr/bpimg52/csMPW/1U9Hdv_SX250Y250/1745918729/pokemon-tcg-march-2025-mini-portfolio-pok106635.webp,"https://www.bestprice.gr/to/184176948/pokemon-tcg-march-2025-mini-portfolio-pok106635.html?seq=80&qo=pokemon+tcg&from=search&ct=46pOvd-lWR11-ecEfM,gcpEtUFezKM",25/08/2025
