set_name,item_title,raw_price,image_url
Pokemon Base Set 2,Fighting Energy #125,$1.39,https://storage.googleapis.com/images.pricecharting.com/bad65f47f665c7458aa24f4efa366beeb8d146fb64dd04dc7ace0502b88c8797/60.jpg
Pokemon Breakthrough,Booster Pack,$12.65,https://storage.googleapis.com/images.pricecharting.com/b21e4628b6117efd98dd3bd822dff1eec1278a3f39e59658c489947b59744687/60.jpg
Pokemon Breakthrough,Booster Box,$430.00,https://storage.googleapis.com/images.pricecharting.com/bc110774a51550152d28051568c1b1722dfcc4e89cb3f9c98ca38c7b9309ecb0/60.jpg
Pokemon Breakthrough,Elite Trainer Box: Mewtwo Y,$648.28,https://storage.googleapis.com/images.pricecharting.com/ee6fbbcfeb510371120e76741f7ecb077069f90a144d7b25e9e82230287e8fe5/60.jpg
Pokemon Breakthrough,Elite Trainer Box: Mewtwo X,$649.95,https://storage.googleapis.com/images.pricecharting.com/b740cd879d4e22b6edc5ad4964963b76acdc13f24687356cc9b9250db5faa62b/60.jpg
Pokemon Boundaries Crossed,Booster Pack,$140.24,https://storage.googleapis.com/images.pricecharting.com/5ee2edec0d2f77666202ef7b914bd5492a6e4cd4d26fe73d2f277c137f5205ee/60.jpg
Pokemon Boundaries Crossed,Booster Box,"$4,261.20",https://storage.googleapis.com/images.pricecharting.com/f26ce55111bc5accb5501dbfdd3c0f1968890538a86a9d1d3fb8801a01569307/60.jpg
Pokemon Burger King,Dratini #147,$1.90,https://storage.googleapis.com/images.pricecharting.com/ref67091dde04e98289498fd7afab2769cc6f512757b025d8647a41d834ffed0a31/60.jpg
Pokemon Battle Styles,Booster Box,$233.45,https://storage.googleapis.com/images.pricecharting.com/jt4cfcgp6nb3cbv6/60.jpg
Pokemon Battle Styles,Victini VMAX #22,$3.18,https://storage.googleapis.com/images.pricecharting.com/b97c5013cf285f71a3da75197bbe0665dd143dc97debeb05face826412ded7b2/60.jpg
Pokemon Battle Styles,Victini V #21,$1.66,https://storage.googleapis.com/images.pricecharting.com/7ecd199e30eafb895b56a5b615a22553211456e1f1189a61d6ec039e83a10894/60.jpg
Pokemon Battle Styles,Elite Trainer Box [Rapid Strike Urshifu],$67.57,https://storage.googleapis.com/images.pricecharting.com/908872f5fa7af7e52fe9f00e4ce79d1fc97fc5c57d664979706a064aa514f7ff/60.jpg
Pokemon Battle Styles,Victini VMAX [Play!] #22,$60.42,https://storage.googleapis.com/images.pricecharting.com/auynw43vtopkdj3t/60.jpg
